Throttle,Left Front RPM,Right Front RPM,Left Rear RPM,Right Rear RPM
0.1,12.3621,12.3621,12.3621,12.3621
0.1,12.4262,12.4262,12.4262,12.4262
0.1,12.4905,12.4905,12.4905,12.4905
0.1,12.5548,12.5548,12.5548,12.5548
0.1,12.6183,12.6183,12.6183,12.6183
0.1,12.6803,12.6803,12.6803,12.6803
0.1,12.7476,12.7476,12.7476,12.7476
0.1,12.8124,12.8124,12.8124,12.8124
0.1,12.8747,12.8747,12.8747,12.8747
0.1,12.939,12.939,12.939,12.939
0.1,13.0046,13.0046,13.0046,13.0046
0.1,13.0705,13.0705,13.0705,13.0705
0.1,13.1321,13.1321,13.1321,13.1321
0.1,13.1983,13.1983,13.1983,13.1983
0.1,13.2619,13.2619,13.2619,13.2619
0.1,13.3259,13.3259,13.3259,13.3259
0.1,13.3904,13.3904,13.3904,13.3904
0.1,13.4544,13.4544,13.4544,13.4544
0.1,13.5186,13.5186,13.5186,13.5186
0.1,13.5834,13.5834,13.5834,13.5834
0.1,13.6465,13.6465,13.6465,13.6465
0.1,13.7112,13.7112,13.7112,13.7112
0.1,13.7753,13.7753,13.7753,13.7753
0.1,13.8401,13.8401,13.8401,13.8401
0.1,13.9052,13.9052,13.9052,13.9052
0.1,13.9686,13.9686,13.9686,13.9686
0.1,14.0322,14.0322,14.0322,14.0322
0.1,14.0969,14.0969,14.0969,14.0969
0.1,14.1606,14.1606,14.1606,14.1606
0.1,14.2247,14.2247,14.2247,14.2247
0.1,14.2889,14.2889,14.2889,14.2889
0.1,14.3532,14.3532,14.3532,14.3532
0.1,14.4171,14.4171,14.4171,14.4171
0.1,14.4818,14.4818,14.4818,14.4818
0.1,14.5455,14.5455,14.5455,14.5455
0.1,14.6096,14.6096,14.6096,14.6096
0.1,14.6739,14.6739,14.6739,14.6739
0.1,14.7379,14.7379,14.7379,14.7379
0.1,14.8021,14.8021,14.8021,14.8021
0.1,14.8643,14.8643,14.8643,14.8643
0.1,14.9302,14.9302,14.9302,14.9302
0.1,14.9956,14.9956,14.9956,14.9956
0.1,15.059,15.059,15.059,15.059
0.1,15.1245,15.1245,15.1245,15.1245
